,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q26769586,http://www.wikidata.org/prop/direct/P1074,http://www.wikidata.org/entity/Q7186,ingoing,[]
1,http://www.wikidata.org/entity/Q1054401,http://www.wikidata.org/prop/direct/P112,http://www.wikidata.org/entity/Q7186,ingoing,[]
2,http://www.wikidata.org/entity/Q38104,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q7186,ingoing,[]
3,http://www.wikidata.org/entity/Q902788,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q7186,ingoing,[]
42,http://www.wikidata.org/entity/Q22920157,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q7186,ingoing,[]
43,http://www.wikidata.org/entity/Q22954091,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q7186,ingoing,[]
44,http://www.wikidata.org/entity/Q16559447,http://www.wikidata.org/prop/direct/P184,http://www.wikidata.org/entity/Q7186,ingoing,[]
45,http://www.wikidata.org/entity/Q241822,http://www.wikidata.org/prop/direct/P184,http://www.wikidata.org/entity/Q7186,ingoing,[]
46,http://www.wikidata.org/entity/Q3107416,http://www.wikidata.org/prop/direct/P184,http://www.wikidata.org/entity/Q7186,ingoing,[]
47,http://www.wikidata.org/entity/Q3593654,http://www.wikidata.org/prop/direct/P184,http://www.wikidata.org/entity/Q7186,ingoing,[]
48,http://www.wikidata.org/entity/Q468371,http://www.wikidata.org/prop/direct/P184,http://www.wikidata.org/entity/Q7186,ingoing,[]
49,http://www.wikidata.org/entity/Q9663423,http://www.wikidata.org/prop/direct/P184,http://www.wikidata.org/entity/Q7186,ingoing,[]
50,http://www.wikidata.org/entity/Q133232,http://www.wikidata.org/prop/direct/P185,http://www.wikidata.org/entity/Q7186,ingoing,[]
51,http://www.wikidata.org/entity/P101,http://www.wikidata.org/prop/direct/P1855,http://www.wikidata.org/entity/Q7186,ingoing,[]
52,http://www.wikidata.org/entity/P3188,http://www.wikidata.org/prop/direct/P1855,http://www.wikidata.org/entity/Q7186,ingoing,[]
53,http://www.wikidata.org/entity/P4389,http://www.wikidata.org/prop/direct/P1855,http://www.wikidata.org/entity/Q7186,ingoing,[]
54,http://www.wikidata.org/entity/Q230068,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q7186,ingoing,[]
55,http://www.wikidata.org/entity/Q7504,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q7186,ingoing,[]
56,http://www.wikidata.org/entity/Q37463,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q7186,ingoing,[]
57,http://www.wikidata.org/entity/Q6898030,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q7186,ingoing,[]
58,http://www.wikidata.org/entity/Q8861061,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q7186,ingoing,[]
59,http://www.wikidata.org/entity/Q4021169,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q7186,ingoing,[]
60,http://www.wikidata.org/entity/Q19226650,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q7186,ingoing,[]
61,http://www.wikidata.org/entity/Q22920166,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q7186,ingoing,[]
62,http://www.wikidata.org/entity/Q35999004,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q7186,ingoing,[]
63,http://www.wikidata.org/entity/Q36000753,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q7186,ingoing,[]
64,http://www.wikidata.org/entity/Q1128,http://www.wikidata.org/prop/direct/P61,http://www.wikidata.org/entity/Q7186,ingoing,[]
65,http://www.wikidata.org/entity/Q979,http://www.wikidata.org/prop/direct/P61,http://www.wikidata.org/entity/Q7186,ingoing,[]
66,http://www.wikidata.org/entity/Q18214338,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q7186,ingoing,[]
0,http://www.wikidata.org/entity/Q719182,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q156626,ingoing,[]
1,http://www.wikidata.org/entity/Q618046,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q156626,ingoing,[]
0,http://www.wikidata.org/entity/Q6810086,http://www.wikidata.org/prop/direct/P1444,http://www.wikidata.org/entity/Q12041584,ingoing,[]
1,http://www.wikidata.org/entity/Q29055609,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q12041584,ingoing,[]
2,http://www.wikidata.org/entity/Q6810086,http://www.wikidata.org/prop/direct/P559,http://www.wikidata.org/entity/Q12041584,ingoing,[]
3,http://www.wikidata.org/entity/Q22379612,http://www.wikidata.org/prop/direct/P669,http://www.wikidata.org/entity/Q12041584,ingoing,[]
4,http://www.wikidata.org/entity/Q24052416,http://www.wikidata.org/prop/direct/P669,http://www.wikidata.org/entity/Q12041584,ingoing,[]
5,http://www.wikidata.org/entity/Q3507213,http://www.wikidata.org/prop/direct/P669,http://www.wikidata.org/entity/Q12041584,ingoing,[]
0,http://www.wikidata.org/entity/Q12421648,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q1876,ingoing,[]
1,http://www.wikidata.org/entity/Q12920640,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q1876,ingoing,[]
2,http://www.wikidata.org/entity/Q12951486,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q1876,ingoing,[]
3,http://www.wikidata.org/entity/Q13170664,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q1876,ingoing,[]
4,http://www.wikidata.org/entity/Q13180351,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q1876,ingoing,[]
5,http://www.wikidata.org/entity/Q16040293,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q1876,ingoing,[]
6,http://www.wikidata.org/entity/Q19746626,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q1876,ingoing,[]
7,http://www.wikidata.org/entity/Q19747051,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q1876,ingoing,[]
8,http://www.wikidata.org/entity/Q2729547,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q1876,ingoing,[]
9,http://www.wikidata.org/entity/Q18845601,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
10,http://www.wikidata.org/entity/Q18845602,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
11,http://www.wikidata.org/entity/Q18845603,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
12,http://www.wikidata.org/entity/Q18845604,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
13,http://www.wikidata.org/entity/Q18845605,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
14,http://www.wikidata.org/entity/Q18845606,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
15,http://www.wikidata.org/entity/Q18845607,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
16,http://www.wikidata.org/entity/Q18845608,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
17,http://www.wikidata.org/entity/Q18845611,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
18,http://www.wikidata.org/entity/Q18845612,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
19,http://www.wikidata.org/entity/Q18845613,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
20,http://www.wikidata.org/entity/Q18845614,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
21,http://www.wikidata.org/entity/Q18845615,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
22,http://www.wikidata.org/entity/Q18845618,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
23,http://www.wikidata.org/entity/Q18845621,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
24,http://www.wikidata.org/entity/Q18845622,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
25,http://www.wikidata.org/entity/Q18845623,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
26,http://www.wikidata.org/entity/Q18845624,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
27,http://www.wikidata.org/entity/Q18845625,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
28,http://www.wikidata.org/entity/Q18888958,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
29,http://www.wikidata.org/entity/Q18888960,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
30,http://www.wikidata.org/entity/Q18888962,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
31,http://www.wikidata.org/entity/Q18888963,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
32,http://www.wikidata.org/entity/Q3007675,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
33,http://www.wikidata.org/entity/Q3007678,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
34,http://www.wikidata.org/entity/Q47457463,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1876,ingoing,[]
35,http://www.wikidata.org/entity/Q7280285,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q1876,ingoing,[]
