,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q11448,outgoing,[]
1,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q2329,outgoing,[]
2,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q413,outgoing,[]
3,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P103,http://www.wikidata.org/entity/Q809,outgoing,[]
4,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q1622272,outgoing,[]
5,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q169470,outgoing,[]
6,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q593644,outgoing,[]
7,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P108,http://www.wikidata.org/entity/Q209842,outgoing,[]
8,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q188856,outgoing,[]
9,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P1196,http://www.wikidata.org/entity/Q3739104,outgoing,[]
10,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P140,http://www.wikidata.org/entity/Q288928,outgoing,[]
11,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P1411,http://www.wikidata.org/entity/Q38104,outgoing,[]
12,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P1411,http://www.wikidata.org/entity/Q44585,outgoing,[]
13,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q150,outgoing,[]
14,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q7737,outgoing,[]
15,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q809,outgoing,[]
16,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1332315,outgoing,[]
17,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1419938,outgoing,[]
18,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q163700,outgoing,[]
19,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q20853550,outgoing,[]
20,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q220842,outgoing,[]
21,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q3332215,outgoing,[]
22,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q38104,outgoing,[]
23,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q44585,outgoing,[]
24,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q46636944,outgoing,[]
25,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q4677703,outgoing,[]
26,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q4710826,outgoing,[]
27,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q4888659,outgoing,[]
28,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q817496,outgoing,[]
29,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q902788,outgoing,[]
30,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P172,http://www.wikidata.org/entity/Q1026,outgoing,[]
31,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P184,http://www.wikidata.org/entity/Q133232,outgoing,[]
32,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P185,http://www.wikidata.org/entity/Q241822,outgoing,[]
33,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P185,http://www.wikidata.org/entity/Q3593654,outgoing,[]
34,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P185,http://www.wikidata.org/entity/Q468371,outgoing,[]
35,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P185,http://www.wikidata.org/entity/Q9663423,outgoing,[]
36,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q270,outgoing,[]
37,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q2364887,outgoing,[]
38,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,outgoing,[]
39,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q4021169,outgoing,[]
40,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q37463,outgoing,[]
41,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q142,outgoing,[]
42,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q36,outgoing,[]
43,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
44,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q8861061,outgoing,[]
45,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/entity/Q11297474,outgoing,[]
46,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q230068,outgoing,[]
47,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q7504,outgoing,[]
48,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q15647945,outgoing,[]
