,subject,predicate,object,type_df,iteration
44,http://www.wikidata.org/entity/Q16559447,http://www.wikidata.org/prop/direct/P184,http://www.wikidata.org/entity/Q7186,ingoing,1
45,http://www.wikidata.org/entity/Q241822,http://www.wikidata.org/prop/direct/P184,http://www.wikidata.org/entity/Q7186,ingoing,1
46,http://www.wikidata.org/entity/Q3107416,http://www.wikidata.org/prop/direct/P184,http://www.wikidata.org/entity/Q7186,ingoing,1
47,http://www.wikidata.org/entity/Q3593654,http://www.wikidata.org/prop/direct/P184,http://www.wikidata.org/entity/Q7186,ingoing,1
48,http://www.wikidata.org/entity/Q468371,http://www.wikidata.org/prop/direct/P184,http://www.wikidata.org/entity/Q7186,ingoing,1
49,http://www.wikidata.org/entity/Q9663423,http://www.wikidata.org/prop/direct/P184,http://www.wikidata.org/entity/Q7186,ingoing,1
50,http://www.wikidata.org/entity/Q133232,http://www.wikidata.org/prop/direct/P185,http://www.wikidata.org/entity/Q7186,ingoing,1
54,http://www.wikidata.org/entity/Q230068,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q7186,ingoing,1
55,http://www.wikidata.org/entity/Q7504,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q7186,ingoing,1
56,http://www.wikidata.org/entity/Q37463,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q7186,ingoing,1
58,http://www.wikidata.org/entity/Q8861061,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q7186,ingoing,1
59,http://www.wikidata.org/entity/Q4021169,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q7186,ingoing,1
66,http://www.wikidata.org/entity/Q18214338,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q7186,ingoing,1
31,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P184,http://www.wikidata.org/entity/Q133232,outgoing,1
32,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P185,http://www.wikidata.org/entity/Q241822,outgoing,1
33,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P185,http://www.wikidata.org/entity/Q3593654,outgoing,1
34,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P185,http://www.wikidata.org/entity/Q468371,outgoing,1
35,http://www.wikidata.org/entity/Q7186,http://www.wikidata.org/prop/direct/P185,http://www.wikidata.org/entity/Q9663423,outgoing,1
