,subject,predicate,object,type_df,superclass
1,http://www.wikidata.org/entity/Q5676226,http://www.wikidata.org/prop/direct/P1038,http://www.wikidata.org/entity/Q5682,ingoing,[]
30,http://www.wikidata.org/entity/Q1264776,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5682,ingoing,[]
31,http://www.wikidata.org/entity/Q1918252,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5682,ingoing,[]
32,http://www.wikidata.org/entity/Q21401597,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5682,ingoing,[]
33,http://www.wikidata.org/entity/Q23807432,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5682,ingoing,[]
34,http://www.wikidata.org/entity/Q2448770,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5682,ingoing,[]
35,http://www.wikidata.org/entity/Q2972300,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5682,ingoing,[]
36,http://www.wikidata.org/entity/Q5129635,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5682,ingoing,[]
37,http://www.wikidata.org/entity/Q5563337,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5682,ingoing,[]
38,http://www.wikidata.org/entity/Q6072772,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5682,ingoing,[]
39,http://www.wikidata.org/entity/Q6113413,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5682,ingoing,[]
40,http://www.wikidata.org/entity/Q6120178,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5682,ingoing,[]
41,http://www.wikidata.org/entity/Q6172930,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5682,ingoing,[]
42,http://www.wikidata.org/entity/Q630823,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5682,ingoing,[]
43,http://www.wikidata.org/entity/Q849647,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5682,ingoing,[]
44,http://www.wikidata.org/entity/Q944201,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5682,ingoing,[]
45,http://www.wikidata.org/entity/Q27047954,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q5682,ingoing,[]
46,http://www.wikidata.org/entity/Q30027377,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q5682,ingoing,[]
47,http://www.wikidata.org/entity/Q30241997,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q5682,ingoing,[]
48,http://www.wikidata.org/entity/Q30242062,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q5682,ingoing,[]
49,http://www.wikidata.org/entity/P103,http://www.wikidata.org/prop/direct/P1855,http://www.wikidata.org/entity/Q5682,ingoing,[]
50,http://www.wikidata.org/entity/Q142600,http://www.wikidata.org/prop/direct/P1877,http://www.wikidata.org/entity/Q5682,ingoing,[]
51,http://www.wikidata.org/entity/Q16988903,http://www.wikidata.org/prop/direct/P1877,http://www.wikidata.org/entity/Q5682,ingoing,[]
52,http://www.wikidata.org/entity/Q2640322,http://www.wikidata.org/prop/direct/P1877,http://www.wikidata.org/entity/Q5682,ingoing,[]
53,http://www.wikidata.org/entity/Q3713503,http://www.wikidata.org/prop/direct/P1877,http://www.wikidata.org/entity/Q5682,ingoing,[]
54,http://www.wikidata.org/entity/Q5813247,http://www.wikidata.org/prop/direct/P1877,http://www.wikidata.org/entity/Q5682,ingoing,[]
55,http://www.wikidata.org/entity/Q17276367,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q5682,ingoing,[]
56,http://www.wikidata.org/entity/Q22087399,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q5682,ingoing,[]
57,http://www.wikidata.org/entity/Q7460832,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q5682,ingoing,[]
58,http://www.wikidata.org/entity/Q6110848,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q5682,ingoing,[]
87,http://www.wikidata.org/entity/Q3035885,http://www.wikidata.org/prop/direct/P58,http://www.wikidata.org/entity/Q5682,ingoing,[]
96,http://www.wikidata.org/entity/Q20925462,http://www.wikidata.org/prop/direct/P825,http://www.wikidata.org/entity/Q5682,ingoing,[]
97,http://www.wikidata.org/entity/Q4343253,http://www.wikidata.org/prop/direct/P825,http://www.wikidata.org/entity/Q5682,ingoing,[]
98,http://www.wikidata.org/entity/Q7836704,http://www.wikidata.org/prop/direct/P971,http://www.wikidata.org/entity/Q5682,ingoing,[]
99,http://www.wikidata.org/entity/Q8688374,http://www.wikidata.org/prop/direct/P971,http://www.wikidata.org/entity/Q5682,ingoing,[]
100,http://www.wikidata.org/entity/Q8742255,http://www.wikidata.org/prop/direct/P971,http://www.wikidata.org/entity/Q5682,ingoing,[]
0,http://www.wikidata.org/entity/Q12242905,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q3825748,ingoing,[]
0,http://www.wikidata.org/entity/P2799,http://www.wikidata.org/prop/direct/P1629,http://www.wikidata.org/entity/Q4903493,ingoing,[]
1,http://www.wikidata.org/entity/P3976,http://www.wikidata.org/prop/direct/P1629,http://www.wikidata.org/entity/Q4903493,ingoing,[]
2,http://www.wikidata.org/entity/P2799,http://www.wikidata.org/prop/direct/P2378,http://www.wikidata.org/entity/Q4903493,ingoing,[]
3,http://www.wikidata.org/entity/P3976,http://www.wikidata.org/prop/direct/P2378,http://www.wikidata.org/entity/Q4903493,ingoing,[]
4,http://www.wikidata.org/entity/Q16487083,http://www.wikidata.org/prop/direct/P98,http://www.wikidata.org/entity/Q4903493,ingoing,[]
42,http://www.wikidata.org/entity/Q8781495,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q81466,ingoing,[]
0,http://www.wikidata.org/entity/Q37469177,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q20201633,ingoing,[]
1,http://www.wikidata.org/entity/Q45620364,http://www.wikidata.org/prop/direct/P937,http://www.wikidata.org/entity/Q20201633,ingoing,[]
1,http://www.wikidata.org/entity/Q15839300,http://www.wikidata.org/prop/direct/P2789,http://www.wikidata.org/entity/Q20014008,ingoing,[]
2,http://www.wikidata.org/entity/Q19798936,http://www.wikidata.org/prop/direct/P2789,http://www.wikidata.org/entity/Q20014008,ingoing,[]
3,http://www.wikidata.org/entity/Q28537501,http://www.wikidata.org/prop/direct/P2789,http://www.wikidata.org/entity/Q20014008,ingoing,[]
5,http://www.wikidata.org/entity/Q28746397,http://www.wikidata.org/prop/direct/P669,http://www.wikidata.org/entity/Q20014008,ingoing,[]
6,http://www.wikidata.org/entity/Q3567521,http://www.wikidata.org/prop/direct/P669,http://www.wikidata.org/entity/Q20014008,ingoing,[]
0,http://www.wikidata.org/entity/Q7691905,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q8353176,ingoing,[]
0,http://www.wikidata.org/entity/Q39559359,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q4903474,ingoing,[]
1,http://www.wikidata.org/entity/Q39636371,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q4903474,ingoing,[]
