,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P103,http://www.wikidata.org/entity/Q1321,outgoing,[]
1,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q214917,outgoing,[]
2,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q36180,outgoing,[]
3,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q49757,outgoing,[]
4,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q4991371,outgoing,[]
5,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q6625963,outgoing,[]
6,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q5166200,outgoing,[]
7,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P1196,http://www.wikidata.org/entity/Q3739104,outgoing,[]
8,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q530936,outgoing,[]
9,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q482,outgoing,[]
10,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q80930,outgoing,[]
11,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q8261,outgoing,[]
12,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q1321,outgoing,[]
13,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q46940,outgoing,[]
14,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q2807,outgoing,[]
15,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
16,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q22087399,outgoing,[]
17,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q29,outgoing,[]
18,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
19,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q17276367,outgoing,[]
20,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P734,http://www.wikidata.org/entity/Q37222317,outgoing,[]
21,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q15620295,outgoing,[]
26,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P972,http://www.wikidata.org/entity/Q5460604,outgoing,[]
0,http://www.wikidata.org/entity/Q6139642,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q15681,outgoing,[]
2,http://www.wikidata.org/entity/Q6139642,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q29,outgoing,[]
3,http://www.wikidata.org/entity/Q6139642,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q19860854,outgoing,[]
4,http://www.wikidata.org/entity/Q6139642,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q24354,outgoing,[]
0,http://www.wikidata.org/entity/Q6139646,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q281272,outgoing,[]
2,http://www.wikidata.org/entity/Q6139646,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q29,outgoing,[]
3,http://www.wikidata.org/entity/Q6139646,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q24354,outgoing,[]
0,http://www.wikidata.org/entity/Q16617960,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q270,outgoing,[]
2,http://www.wikidata.org/entity/Q16617960,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q36,outgoing,[]
3,http://www.wikidata.org/entity/Q16617960,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3280746,outgoing,[]
0,http://www.wikidata.org/entity/Q3825748,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q126148,outgoing,[]
2,http://www.wikidata.org/entity/Q3825748,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q1028,outgoing,[]
3,http://www.wikidata.org/entity/Q3825748,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q24354,outgoing,[]
0,http://www.wikidata.org/entity/Q4903493,http://www.wikidata.org/prop/direct/P112,http://www.wikidata.org/entity/Q2037040,outgoing,[]
2,http://www.wikidata.org/entity/Q4903493,http://www.wikidata.org/prop/direct/P159,http://www.wikidata.org/entity/Q11959,outgoing,[]
3,http://www.wikidata.org/entity/Q4903493,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q38217468,outgoing,[]
4,http://www.wikidata.org/entity/Q4903493,http://www.wikidata.org/prop/direct/P1687,http://www.wikidata.org/entity/P2799,outgoing,[]
5,http://www.wikidata.org/entity/Q4903493,http://www.wikidata.org/prop/direct/P1687,http://www.wikidata.org/entity/P3976,outgoing,[]
6,http://www.wikidata.org/entity/Q4903493,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q29,outgoing,[]
7,http://www.wikidata.org/entity/Q4903493,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q212805,outgoing,[]
8,http://www.wikidata.org/entity/Q4903493,http://www.wikidata.org/prop/direct/P859,http://www.wikidata.org/entity/Q5871117,outgoing,[]
9,http://www.wikidata.org/entity/Q4903493,http://www.wikidata.org/prop/direct/P859,http://www.wikidata.org/entity/Q6496310,outgoing,[]
0,http://www.wikidata.org/entity/Q45811685,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q695375,outgoing,[]
2,http://www.wikidata.org/entity/Q45811685,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q29,outgoing,[]
3,http://www.wikidata.org/entity/Q45811685,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q24354,outgoing,[]
0,http://www.wikidata.org/entity/Q27164181,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q835559,outgoing,[]
2,http://www.wikidata.org/entity/Q27164181,http://www.wikidata.org/prop/direct/P1435,http://www.wikidata.org/entity/Q26934132,outgoing,[]
3,http://www.wikidata.org/entity/Q27164181,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q29,outgoing,[]
4,http://www.wikidata.org/entity/Q27164181,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q41253,outgoing,[]
0,http://www.wikidata.org/entity/Q367615,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1486,outgoing,[]
2,http://www.wikidata.org/entity/Q367615,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q414,outgoing,[]
3,http://www.wikidata.org/entity/Q367615,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q24354,outgoing,[]
1,http://www.wikidata.org/entity/Q772714,http://www.wikidata.org/prop/direct/P196,http://www.wikidata.org/entity/Q2179,outgoing,[]
2,http://www.wikidata.org/entity/Q772714,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3863,outgoing,[]
4,http://www.wikidata.org/entity/Q772714,http://www.wikidata.org/prop/direct/P65,http://www.wikidata.org/entity/Q151991,outgoing,[]
0,http://www.wikidata.org/entity/Q23307900,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q46940,outgoing,[]
2,http://www.wikidata.org/entity/Q23307900,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q29,outgoing,[]
3,http://www.wikidata.org/entity/Q23307900,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q24354,outgoing,[]
0,http://www.wikidata.org/entity/Q81466,http://www.wikidata.org/prop/direct/P1027,http://www.wikidata.org/entity/Q3113895,outgoing,[]
2,http://www.wikidata.org/entity/Q81466,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q29,outgoing,[]
3,http://www.wikidata.org/entity/Q81466,http://www.wikidata.org/prop/direct/P2517,http://www.wikidata.org/entity/Q8781495,outgoing,[]
4,http://www.wikidata.org/entity/Q81466,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q378427,outgoing,[]
0,http://www.wikidata.org/entity/Q20201633,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q2807,outgoing,[]
2,http://www.wikidata.org/entity/Q20201633,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q29,outgoing,[]
3,http://www.wikidata.org/entity/Q20201633,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q19860854,outgoing,[]
4,http://www.wikidata.org/entity/Q20201633,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q24354,outgoing,[]
5,http://www.wikidata.org/entity/Q20201633,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q41253,outgoing,[]
6,http://www.wikidata.org/entity/Q20201633,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q52815,outgoing,[]
7,http://www.wikidata.org/entity/Q20201633,http://www.wikidata.org/prop/direct/P669,http://www.wikidata.org/entity/Q20908821,outgoing,[]
