,subject,predicate,object,type_df,iteration
1,http://www.wikidata.org/entity/Q5676226,http://www.wikidata.org/prop/direct/P1038,http://www.wikidata.org/entity/Q5682,ingoing,1
55,http://www.wikidata.org/entity/Q17276367,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q5682,ingoing,1
56,http://www.wikidata.org/entity/Q22087399,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q5682,ingoing,1
58,http://www.wikidata.org/entity/Q6110848,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q5682,ingoing,1
16,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q22087399,outgoing,1
19,http://www.wikidata.org/entity/Q5682,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q17276367,outgoing,1
1,http://www.wikidata.org/entity/Q6139642,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5682,outgoing,2
1,http://www.wikidata.org/entity/Q6139646,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5682,outgoing,2
1,http://www.wikidata.org/entity/Q16617960,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5682,outgoing,2
1,http://www.wikidata.org/entity/Q3825748,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5682,outgoing,2
1,http://www.wikidata.org/entity/Q4903493,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5682,outgoing,2
1,http://www.wikidata.org/entity/Q45811685,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5682,outgoing,2
1,http://www.wikidata.org/entity/Q27164181,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5682,outgoing,2
1,http://www.wikidata.org/entity/Q367615,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5682,outgoing,2
0,http://www.wikidata.org/entity/Q772714,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5682,outgoing,2
1,http://www.wikidata.org/entity/Q23307900,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5682,outgoing,2
1,http://www.wikidata.org/entity/Q81466,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5682,outgoing,2
1,http://www.wikidata.org/entity/Q20201633,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5682,outgoing,2
