,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q12269624,http://www.wikidata.org/prop/direct/P1038,http://www.wikidata.org/entity/Q5593,ingoing,[]
1,http://www.wikidata.org/entity/Q26993515,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q5593,ingoing,[]
2,http://www.wikidata.org/entity/Q7735022,http://www.wikidata.org/prop/direct/P110,http://www.wikidata.org/entity/Q5593,ingoing,[]
11,http://www.wikidata.org/entity/Q1018269,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
12,http://www.wikidata.org/entity/Q10278533,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
13,http://www.wikidata.org/entity/Q10281071,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
14,http://www.wikidata.org/entity/Q10281072,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
15,http://www.wikidata.org/entity/Q10281201,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
16,http://www.wikidata.org/entity/Q10298015,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
17,http://www.wikidata.org/entity/Q10315123,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
18,http://www.wikidata.org/entity/Q10333081,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
19,http://www.wikidata.org/entity/Q10335775,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
20,http://www.wikidata.org/entity/Q10338112,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
21,http://www.wikidata.org/entity/Q10339969,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
22,http://www.wikidata.org/entity/Q10348858,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
23,http://www.wikidata.org/entity/Q10385954,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
24,http://www.wikidata.org/entity/Q1110187,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
25,http://www.wikidata.org/entity/Q1111330,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
26,http://www.wikidata.org/entity/Q1113293,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
28,http://www.wikidata.org/entity/Q1121039,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
31,http://www.wikidata.org/entity/Q11495948,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
36,http://www.wikidata.org/entity/Q11917832,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
39,http://www.wikidata.org/entity/Q1205085,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
40,http://www.wikidata.org/entity/Q1232100,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
41,http://www.wikidata.org/entity/Q1256999,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
42,http://www.wikidata.org/entity/Q129433,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
43,http://www.wikidata.org/entity/Q13582428,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
44,http://www.wikidata.org/entity/Q152849,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
46,http://www.wikidata.org/entity/Q1571678,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
47,http://www.wikidata.org/entity/Q15968379,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
50,http://www.wikidata.org/entity/Q16555633,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
51,http://www.wikidata.org/entity/Q16701912,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
52,http://www.wikidata.org/entity/Q16934673,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
53,http://www.wikidata.org/entity/Q17278728,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
54,http://www.wikidata.org/entity/Q17491426,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
55,http://www.wikidata.org/entity/Q17491868,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
56,http://www.wikidata.org/entity/Q175036,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
57,http://www.wikidata.org/entity/Q17521328,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
58,http://www.wikidata.org/entity/Q1767343,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
59,http://www.wikidata.org/entity/Q1799228,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
60,http://www.wikidata.org/entity/Q1810165,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
61,http://www.wikidata.org/entity/Q18224351,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
62,http://www.wikidata.org/entity/Q18621157,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
63,http://www.wikidata.org/entity/Q18644112,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
68,http://www.wikidata.org/entity/Q18719589,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
69,http://www.wikidata.org/entity/Q19162475,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
70,http://www.wikidata.org/entity/Q19370839,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
71,http://www.wikidata.org/entity/Q19589746,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
72,http://www.wikidata.org/entity/Q19882897,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
73,http://www.wikidata.org/entity/Q19882898,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
74,http://www.wikidata.org/entity/Q19882899,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
75,http://www.wikidata.org/entity/Q19882900,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
76,http://www.wikidata.org/entity/Q19882901,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
77,http://www.wikidata.org/entity/Q19882902,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
78,http://www.wikidata.org/entity/Q19882903,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
79,http://www.wikidata.org/entity/Q19882904,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
80,http://www.wikidata.org/entity/Q19882905,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
81,http://www.wikidata.org/entity/Q19882907,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
82,http://www.wikidata.org/entity/Q19882909,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
83,http://www.wikidata.org/entity/Q19882910,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
84,http://www.wikidata.org/entity/Q19882911,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
85,http://www.wikidata.org/entity/Q19882912,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
86,http://www.wikidata.org/entity/Q19882913,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
87,http://www.wikidata.org/entity/Q19882914,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
88,http://www.wikidata.org/entity/Q19882915,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
89,http://www.wikidata.org/entity/Q19882916,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
90,http://www.wikidata.org/entity/Q19883498,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
91,http://www.wikidata.org/entity/Q19883499,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
92,http://www.wikidata.org/entity/Q19883500,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
93,http://www.wikidata.org/entity/Q19883515,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
94,http://www.wikidata.org/entity/Q19883516,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
95,http://www.wikidata.org/entity/Q19883517,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
96,http://www.wikidata.org/entity/Q19883532,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
97,http://www.wikidata.org/entity/Q19883533,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
98,http://www.wikidata.org/entity/Q19883534,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
99,http://www.wikidata.org/entity/Q19883535,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
100,http://www.wikidata.org/entity/Q19883536,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
101,http://www.wikidata.org/entity/Q19883537,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
102,http://www.wikidata.org/entity/Q19883547,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
103,http://www.wikidata.org/entity/Q19883569,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
104,http://www.wikidata.org/entity/Q19883633,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
105,http://www.wikidata.org/entity/Q19883694,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,ingoing,[]
