,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P102,http://www.wikidata.org/entity/Q192821,outgoing,[]
1,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P103,http://www.wikidata.org/entity/Q1321,outgoing,[]
2,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q1028181,outgoing,[]
3,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q11569986,outgoing,[]
4,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q1281618,outgoing,[]
5,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q2490358,outgoing,[]
6,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q627325,outgoing,[]
7,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q644687,outgoing,[]
8,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q739437,outgoing,[]
9,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q7541856,outgoing,[]
10,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q20535072,outgoing,[]
11,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q2901542,outgoing,[]
12,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P1196,http://www.wikidata.org/entity/Q3739104,outgoing,[]
13,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q166713,outgoing,[]
14,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q39427,outgoing,[]
15,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q42934,outgoing,[]
16,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q1321,outgoing,[]
17,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q308907,outgoing,[]
18,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q8851,outgoing,[]
19,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P1962,http://www.wikidata.org/entity/Q3351352,outgoing,[]
20,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q220673,outgoing,[]
21,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
22,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q2901542,outgoing,[]
23,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q17376029,outgoing,[]
24,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q273024,outgoing,[]
25,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q433150,outgoing,[]
26,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q540665,outgoing,[]
27,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q29,outgoing,[]
28,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P2959,http://www.wikidata.org/entity/Q22001877,outgoing,[]
29,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
30,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q15984355,outgoing,[]
31,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q270356,outgoing,[]
32,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q2977959,outgoing,[]
33,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q3302913,outgoing,[]
