,subject,predicate,object,type_df,iteration
0,http://www.wikidata.org/entity/Q12269624,http://www.wikidata.org/prop/direct/P1038,http://www.wikidata.org/entity/Q5593,ingoing,1
1,http://www.wikidata.org/entity/Q26993515,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q5593,ingoing,1
719,http://www.wikidata.org/entity/Q15984355,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q5593,ingoing,1
720,http://www.wikidata.org/entity/Q270356,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q5593,ingoing,1
721,http://www.wikidata.org/entity/Q2977959,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q5593,ingoing,1
722,http://www.wikidata.org/entity/Q3302913,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q5593,ingoing,1
724,http://www.wikidata.org/entity/Q273024,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q5593,ingoing,1
725,http://www.wikidata.org/entity/Q433150,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q5593,ingoing,1
729,http://www.wikidata.org/entity/Q17376029,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q5593,ingoing,1
730,http://www.wikidata.org/entity/Q2901542,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q5593,ingoing,1
731,http://www.wikidata.org/entity/Q236161,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q5593,ingoing,1
732,http://www.wikidata.org/entity/Q453775,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q5593,ingoing,1
733,http://www.wikidata.org/entity/Q463653,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q5593,ingoing,1
734,http://www.wikidata.org/entity/Q528534,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q5593,ingoing,1
735,http://www.wikidata.org/entity/Q540665,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q5593,ingoing,1
736,http://www.wikidata.org/entity/Q90635,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q5593,ingoing,1
742,http://www.wikidata.org/entity/Q2712107,http://www.wikidata.org/prop/direct/P608,http://www.wikidata.org/entity/Q5593,ingoing,1
747,http://www.wikidata.org/entity/Q120993,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q5593,ingoing,1
748,http://www.wikidata.org/entity/Q159907,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q5593,ingoing,1
749,http://www.wikidata.org/entity/Q180962,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q5593,ingoing,1
750,http://www.wikidata.org/entity/Q261846,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q5593,ingoing,1
751,http://www.wikidata.org/entity/Q2712107,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q5593,ingoing,1
752,http://www.wikidata.org/entity/Q5577,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q5593,ingoing,1
753,http://www.wikidata.org/entity/Q61064,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q5593,ingoing,1
755,http://www.wikidata.org/entity/Q2901542,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q5593,ingoing,1
10,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q20535072,outgoing,1
11,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q2901542,outgoing,1
19,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P1962,http://www.wikidata.org/entity/Q3351352,outgoing,1
22,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q2901542,outgoing,1
23,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q17376029,outgoing,1
24,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q273024,outgoing,1
25,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q433150,outgoing,1
26,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q540665,outgoing,1
30,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q15984355,outgoing,1
31,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q270356,outgoing,1
32,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q2977959,outgoing,1
33,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q3302913,outgoing,1
34,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q236161,outgoing,1
35,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q453775,outgoing,1
36,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q463653,outgoing,1
37,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q528534,outgoing,1
38,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q540665,outgoing,1
39,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q90635,outgoing,1
0,http://www.wikidata.org/entity/Q24879303,http://www.wikidata.org/prop/direct/P108,http://www.wikidata.org/entity/Q1050032,ingoing,2
1,http://www.wikidata.org/entity/Q1050032,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5593,outgoing,2
0,http://www.wikidata.org/entity/Q7190530,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5593,outgoing,2
5,http://www.wikidata.org/entity/Q593257,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5593,outgoing,2
4,http://www.wikidata.org/entity/Q3390016,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5593,outgoing,2
0,http://www.wikidata.org/entity/Q2745526,http://www.wikidata.org/prop/direct/P800,http://www.wikidata.org/entity/Q2866149,ingoing,2
1,http://www.wikidata.org/entity/Q2866149,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5593,outgoing,2
4,http://www.wikidata.org/entity/Q2866149,http://www.wikidata.org/prop/direct/P84,http://www.wikidata.org/entity/Q2745526,outgoing,2
1,http://www.wikidata.org/entity/Q6033669,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5593,outgoing,2
1,http://www.wikidata.org/entity/Q7121722,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5593,outgoing,2
2,http://www.wikidata.org/entity/Q7121722,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q45909,outgoing,2
6,http://www.wikidata.org/entity/Q7121722,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q709470,outgoing,2
7,http://www.wikidata.org/entity/Q7121722,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q709470,outgoing,2
1,http://www.wikidata.org/entity/Q20549957,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5593,outgoing,2
0,http://www.wikidata.org/entity/Q18719527,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,outgoing,3
0,http://www.wikidata.org/entity/Q21849622,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,outgoing,3
0,http://www.wikidata.org/entity/Q9004550,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,outgoing,3
0,http://www.wikidata.org/entity/Q22953082,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,outgoing,3
0,http://www.wikidata.org/entity/Q21815345,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,outgoing,3
1,http://www.wikidata.org/entity/Q8209960,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q151152,outgoing,3
0,http://www.wikidata.org/entity/Q576641,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,outgoing,3
1,http://www.wikidata.org/entity/Q3847029,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,outgoing,3
0,http://www.wikidata.org/entity/Q5964371,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,outgoing,3
1,http://www.wikidata.org/entity/Q11913315,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,outgoing,3
1,http://www.wikidata.org/entity/Q8355010,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,outgoing,3
0,http://www.wikidata.org/entity/Q21815342,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,outgoing,3
0,http://www.wikidata.org/entity/Q8773916,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,outgoing,3
1,http://www.wikidata.org/entity/Q9068390,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q5593,outgoing,3
