,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q1113428,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q8873,ingoing,[]
1,http://www.wikidata.org/entity/Q1328249,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q8873,ingoing,[]
2,http://www.wikidata.org/entity/Q209459,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q8873,ingoing,[]
3,http://www.wikidata.org/entity/Q7650000,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q8873,ingoing,[]
4,http://www.wikidata.org/entity/Q390467,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q8873,ingoing,[]
5,http://www.wikidata.org/entity/Q622284,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q8873,ingoing,[]
6,http://www.wikidata.org/entity/Q622376,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q8873,ingoing,[]
7,http://www.wikidata.org/entity/Q622380,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q8873,ingoing,[]
8,http://www.wikidata.org/entity/Q639620,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q8873,ingoing,[]
9,http://www.wikidata.org/entity/Q639628,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q8873,ingoing,[]
10,http://www.wikidata.org/entity/Q640208,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q8873,ingoing,[]
11,http://www.wikidata.org/entity/Q640276,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q8873,ingoing,[]
12,http://www.wikidata.org/entity/Q717183,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q8873,ingoing,[]
13,http://www.wikidata.org/entity/Q2723899,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q8873,ingoing,[]
14,http://www.wikidata.org/entity/Q2386932,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q8873,ingoing,[]
15,http://www.wikidata.org/entity/Q3350953,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q8873,ingoing,[]
16,http://www.wikidata.org/entity/Q4907276,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q8873,ingoing,[]
