,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q1028181,outgoing,[]
1,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q1930187,outgoing,[]
2,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q222344,outgoing,[]
3,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q2526255,outgoing,[]
4,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q28389,outgoing,[]
5,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q3282637,outgoing,[]
6,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q36180,outgoing,[]
7,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q36834,outgoing,[]
8,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q4853732,outgoing,[]
9,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q7042855,outgoing,[]
10,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q753110,outgoing,[]
11,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q822146,outgoing,[]
12,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P140,http://www.wikidata.org/entity/Q9089,outgoing,[]
13,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P1411,http://www.wikidata.org/entity/Q1113428,outgoing,[]
14,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P1411,http://www.wikidata.org/entity/Q139184,outgoing,[]
15,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P1411,http://www.wikidata.org/entity/Q3353237,outgoing,[]
16,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q1568,outgoing,[]
17,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q1860,outgoing,[]
18,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q9610,outgoing,[]
19,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1113428,outgoing,[]
20,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1328249,outgoing,[]
21,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q139184,outgoing,[]
22,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1398170,outgoing,[]
23,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1414573,outgoing,[]
24,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1435633,outgoing,[]
25,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1435635,outgoing,[]
26,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1494211,outgoing,[]
