,subject,predicate,object,type_df,iteration
15,http://www.wikidata.org/entity/Q3350953,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q8873,ingoing,1
16,http://www.wikidata.org/entity/Q4907276,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q8873,ingoing,1
18,http://www.wikidata.org/entity/Q735112,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q8873,ingoing,1
162,http://www.wikidata.org/entity/Q337226,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q8873,ingoing,1
51,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q735112,outgoing,1
52,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q4907276,outgoing,1
55,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q3350953,outgoing,1
62,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q50713,outgoing,1
63,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q51114,outgoing,1
64,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q53004,outgoing,1
65,http://www.wikidata.org/entity/Q8873,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q7241,outgoing,1
3,http://www.wikidata.org/entity/Q3349767,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
3,http://www.wikidata.org/entity/Q42414303,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
5,http://www.wikidata.org/entity/Q4902230,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q13057215,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q18987388,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q13058343,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q16346428,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
4,http://www.wikidata.org/entity/Q7460040,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q15725486,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q18988968,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
4,http://www.wikidata.org/entity/Q7500421,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
5,http://www.wikidata.org/entity/Q6347935,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
0,http://www.wikidata.org/entity/Q5004178,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q18987313,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q18987494,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
5,http://www.wikidata.org/entity/Q11881597,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
2,http://www.wikidata.org/entity/Q19895867,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q18987390,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
5,http://www.wikidata.org/entity/Q5094903,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
6,http://www.wikidata.org/entity/Q5094903,http://www.wikidata.org/prop/direct/P736,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q13058743,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
3,http://www.wikidata.org/entity/Q5442700,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
2,http://www.wikidata.org/entity/Q5682255,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
5,http://www.wikidata.org/entity/Q7248191,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q13057572,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
6,http://www.wikidata.org/entity/Q7808535,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q13059904,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
4,http://www.wikidata.org/entity/Q6733442,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q13059671,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q18987249,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
4,http://www.wikidata.org/entity/Q7259912,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q5228311,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
4,http://www.wikidata.org/entity/Q7447457,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q16346052,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q18987496,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
4,http://www.wikidata.org/entity/Q5557730,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
5,http://www.wikidata.org/entity/Q7373805,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
6,http://www.wikidata.org/entity/Q7248189,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
7,http://www.wikidata.org/entity/Q7248189,http://www.wikidata.org/prop/direct/P736,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q16345462,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
3,http://www.wikidata.org/entity/Q5580909,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q13058741,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
3,http://www.wikidata.org/entity/Q17121852,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q6125138,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
6,http://www.wikidata.org/entity/Q4841147,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
7,http://www.wikidata.org/entity/Q4841147,http://www.wikidata.org/prop/direct/P736,http://www.wikidata.org/entity/Q8873,outgoing,2
9,http://www.wikidata.org/entity/Q717178,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
10,http://www.wikidata.org/entity/Q717178,http://www.wikidata.org/prop/direct/P57,http://www.wikidata.org/entity/Q8873,outgoing,2
2,http://www.wikidata.org/entity/Q4940456,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q5203796,outgoing,2
6,http://www.wikidata.org/entity/Q4940456,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
7,http://www.wikidata.org/entity/Q4940456,http://www.wikidata.org/prop/direct/P57,http://www.wikidata.org/entity/Q3350953,outgoing,2
8,http://www.wikidata.org/entity/Q4940456,http://www.wikidata.org/prop/direct/P58,http://www.wikidata.org/entity/Q8873,outgoing,2
0,http://www.wikidata.org/entity/Q717168,http://www.wikidata.org/prop/direct/P1040,http://www.wikidata.org/entity/Q662494,outgoing,2
4,http://www.wikidata.org/entity/Q717168,http://www.wikidata.org/prop/direct/P344,http://www.wikidata.org/entity/Q2304092,outgoing,2
8,http://www.wikidata.org/entity/Q717168,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
9,http://www.wikidata.org/entity/Q717168,http://www.wikidata.org/prop/direct/P57,http://www.wikidata.org/entity/Q8873,outgoing,2
10,http://www.wikidata.org/entity/Q717168,http://www.wikidata.org/prop/direct/P58,http://www.wikidata.org/entity/Q8873,outgoing,2
11,http://www.wikidata.org/entity/Q717168,http://www.wikidata.org/prop/direct/P736,http://www.wikidata.org/entity/Q8873,outgoing,2
12,http://www.wikidata.org/entity/Q717168,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q8873,outgoing,2
6,http://www.wikidata.org/entity/Q5521265,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
1,http://www.wikidata.org/entity/Q13059090,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q8873,outgoing,2
