,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q208258,http://www.wikidata.org/prop/direct/P1327,http://www.wikidata.org/entity/Q1698,ingoing,[]
1,http://www.wikidata.org/entity/Q1480559,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q1698,ingoing,[]
2,http://www.wikidata.org/entity/Q3162362,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q1698,ingoing,[]
3,http://www.wikidata.org/entity/Q4949773,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q1698,ingoing,[]
64,http://www.wikidata.org/entity/Q3381548,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q1698,ingoing,[]
65,http://www.wikidata.org/entity/Q276005,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q1698,ingoing,[]
66,http://www.wikidata.org/entity/Q3267243,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q1698,ingoing,[]
67,http://www.wikidata.org/entity/Q212873,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q1698,ingoing,[]
68,http://www.wikidata.org/entity/Q3242501,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q1698,ingoing,[]
69,http://www.wikidata.org/entity/Q581225,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q1698,ingoing,[]
70,http://www.wikidata.org/entity/Q8732350,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q1698,ingoing,[]
71,http://www.wikidata.org/entity/Q36268,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q1698,ingoing,[]
73,http://www.wikidata.org/entity/Q3061597,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q1698,ingoing,[]
74,http://www.wikidata.org/entity/Q176147,http://www.wikidata.org/prop/direct/P57,http://www.wikidata.org/entity/Q1698,ingoing,[]
75,http://www.wikidata.org/entity/Q3496521,http://www.wikidata.org/prop/direct/P57,http://www.wikidata.org/entity/Q1698,ingoing,[]
76,http://www.wikidata.org/entity/Q3589392,http://www.wikidata.org/prop/direct/P57,http://www.wikidata.org/entity/Q1698,ingoing,[]
77,http://www.wikidata.org/entity/Q898864,http://www.wikidata.org/prop/direct/P57,http://www.wikidata.org/entity/Q1698,ingoing,[]
78,http://www.wikidata.org/entity/Q176147,http://www.wikidata.org/prop/direct/P58,http://www.wikidata.org/entity/Q1698,ingoing,[]
79,http://www.wikidata.org/entity/Q28497159,http://www.wikidata.org/prop/direct/P58,http://www.wikidata.org/entity/Q1698,ingoing,[]
80,http://www.wikidata.org/entity/Q2850449,http://www.wikidata.org/prop/direct/P58,http://www.wikidata.org/entity/Q1698,ingoing,[]
81,http://www.wikidata.org/entity/Q898864,http://www.wikidata.org/prop/direct/P58,http://www.wikidata.org/entity/Q1698,ingoing,[]
82,http://www.wikidata.org/entity/Q115468,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,ingoing,[]
86,http://www.wikidata.org/entity/Q2572727,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,ingoing,[]
89,http://www.wikidata.org/entity/Q2878041,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,ingoing,[]
90,http://www.wikidata.org/entity/Q2881793,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,ingoing,[]
91,http://www.wikidata.org/entity/Q2961413,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,ingoing,[]
92,http://www.wikidata.org/entity/Q3011765,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,ingoing,[]
93,http://www.wikidata.org/entity/Q3088263,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,ingoing,[]
97,http://www.wikidata.org/entity/Q3186729,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,ingoing,[]
102,http://www.wikidata.org/entity/Q3287086,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,ingoing,[]
104,http://www.wikidata.org/entity/Q3334143,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,ingoing,[]
106,http://www.wikidata.org/entity/Q3410755,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,ingoing,[]
110,http://www.wikidata.org/entity/Q3515008,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,ingoing,[]
111,http://www.wikidata.org/entity/Q3547361,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,ingoing,[]
113,http://www.wikidata.org/entity/Q4949773,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,ingoing,[]
115,http://www.wikidata.org/entity/Q16628361,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q1698,ingoing,[]
116,http://www.wikidata.org/entity/Q115468,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
117,http://www.wikidata.org/entity/Q1212729,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
121,http://www.wikidata.org/entity/Q176147,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
122,http://www.wikidata.org/entity/Q212387,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
123,http://www.wikidata.org/entity/Q2282061,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
124,http://www.wikidata.org/entity/Q2294392,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
125,http://www.wikidata.org/entity/Q2364074,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
126,http://www.wikidata.org/entity/Q2393516,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
127,http://www.wikidata.org/entity/Q259389,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
128,http://www.wikidata.org/entity/Q287001,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
130,http://www.wikidata.org/entity/Q2940388,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
131,http://www.wikidata.org/entity/Q3108201,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
132,http://www.wikidata.org/entity/Q318838,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
133,http://www.wikidata.org/entity/Q3202805,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
135,http://www.wikidata.org/entity/Q3204799,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
136,http://www.wikidata.org/entity/Q3209800,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
138,http://www.wikidata.org/entity/Q3223572,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
139,http://www.wikidata.org/entity/Q3225109,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
141,http://www.wikidata.org/entity/Q3231417,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
142,http://www.wikidata.org/entity/Q3286450,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
145,http://www.wikidata.org/entity/Q3410755,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
148,http://www.wikidata.org/entity/Q3482832,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
150,http://www.wikidata.org/entity/Q3589392,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
151,http://www.wikidata.org/entity/Q472690,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
152,http://www.wikidata.org/entity/Q4949773,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
153,http://www.wikidata.org/entity/Q570780,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
155,http://www.wikidata.org/entity/Q828566,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
156,http://www.wikidata.org/entity/Q898864,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,ingoing,[]
157,http://www.wikidata.org/entity/Q8456646,http://www.wikidata.org/prop/direct/P971,http://www.wikidata.org/entity/Q1698,ingoing,[]
158,http://www.wikidata.org/entity/Q8732353,http://www.wikidata.org/prop/direct/P971,http://www.wikidata.org/entity/Q1698,ingoing,[]
0,http://www.wikidata.org/entity/Q6494268,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q128028,ingoing,[]
0,http://www.wikidata.org/entity/Q6794079,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q3301918,ingoing,[]
0,http://www.wikidata.org/entity/Q18922801,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q3479325,ingoing,[]
0,http://www.wikidata.org/entity/Q3203832,http://www.wikidata.org/prop/direct/P144,http://www.wikidata.org/entity/Q1943344,ingoing,[]
0,http://www.wikidata.org/entity/Q20813212,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q2812314,ingoing,[]
0,http://www.wikidata.org/entity/Q18922791,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q3094400,ingoing,[]
0,http://www.wikidata.org/entity/Q3642190,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q7884956,ingoing,[]
0,http://www.wikidata.org/entity/Q18922781,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q3094401,ingoing,[]
0,http://www.wikidata.org/entity/Q6034161,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q2690442,ingoing,[]
