,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P103,http://www.wikidata.org/entity/Q150,outgoing,[]
1,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q10800557,outgoing,[]
2,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q1415090,outgoing,[]
3,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q15981151,outgoing,[]
4,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q177220,outgoing,[]
5,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q2526255,outgoing,[]
6,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q28389,outgoing,[]
7,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q33999,outgoing,[]
8,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q36180,outgoing,[]
9,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q36834,outgoing,[]
10,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q486748,outgoing,[]
11,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q488205,outgoing,[]
12,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q49757,outgoing,[]
13,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q753110,outgoing,[]
14,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q272208,outgoing,[]
15,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P1196,http://www.wikidata.org/entity/Q3739104,outgoing,[]
16,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P1303,http://www.wikidata.org/entity/Q46185,outgoing,[]
17,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P1303,http://www.wikidata.org/entity/Q5994,outgoing,[]
18,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P1303,http://www.wikidata.org/entity/Q6607,outgoing,[]
19,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P1303,http://www.wikidata.org/entity/Q79838,outgoing,[]
20,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q1062400,outgoing,[]
