,subject,predicate,object,type_df,iteration
0,http://www.wikidata.org/entity/Q208258,http://www.wikidata.org/prop/direct/P1327,http://www.wikidata.org/entity/Q1698,ingoing,1
65,http://www.wikidata.org/entity/Q276005,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q1698,ingoing,1
66,http://www.wikidata.org/entity/Q3267243,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q1698,ingoing,1
67,http://www.wikidata.org/entity/Q212873,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q1698,ingoing,1
68,http://www.wikidata.org/entity/Q3242501,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q1698,ingoing,1
69,http://www.wikidata.org/entity/Q581225,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q1698,ingoing,1
71,http://www.wikidata.org/entity/Q36268,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q1698,ingoing,1
25,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q212873,outgoing,1
26,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q3242501,outgoing,1
27,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q581225,outgoing,1
32,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q276005,outgoing,1
33,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q3267243,outgoing,1
34,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q212873,outgoing,1
35,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q36268,outgoing,1
36,http://www.wikidata.org/entity/Q1698,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q581225,outgoing,1
3,http://www.wikidata.org/entity/Q2741315,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q20813359,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q11593600,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
5,http://www.wikidata.org/entity/Q11593600,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q15944773,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
1,http://www.wikidata.org/entity/Q2936387,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q3163572,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q2873122,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
1,http://www.wikidata.org/entity/Q3225742,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
5,http://www.wikidata.org/entity/Q3225742,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,outgoing,2
6,http://www.wikidata.org/entity/Q3225742,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q3293075,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
5,http://www.wikidata.org/entity/Q3293075,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,outgoing,2
6,http://www.wikidata.org/entity/Q3293075,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q15944775,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q3337386,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
1,http://www.wikidata.org/entity/Q23009852,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
3,http://www.wikidata.org/entity/Q2910313,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q3147122,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
2,http://www.wikidata.org/entity/Q2740898,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q3209834,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
5,http://www.wikidata.org/entity/Q3209834,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,outgoing,2
6,http://www.wikidata.org/entity/Q3209834,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q3301912,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q3427594,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
5,http://www.wikidata.org/entity/Q3427594,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,outgoing,2
1,http://www.wikidata.org/entity/Q23926267,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q124112,outgoing,2
2,http://www.wikidata.org/entity/Q23926267,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
6,http://www.wikidata.org/entity/Q23926267,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q1698,outgoing,2
1,http://www.wikidata.org/entity/Q15944771,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
6,http://www.wikidata.org/entity/Q15944771,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,outgoing,2
3,http://www.wikidata.org/entity/Q3048951,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
2,http://www.wikidata.org/entity/Q128028,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
3,http://www.wikidata.org/entity/Q128028,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q212873,outgoing,2
11,http://www.wikidata.org/entity/Q128028,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,outgoing,2
12,http://www.wikidata.org/entity/Q128028,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,outgoing,2
2,http://www.wikidata.org/entity/Q3101524,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
3,http://www.wikidata.org/entity/Q3101524,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q276005,outgoing,2
10,http://www.wikidata.org/entity/Q3101524,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,outgoing,2
1,http://www.wikidata.org/entity/Q3372878,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
5,http://www.wikidata.org/entity/Q3372878,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,outgoing,2
6,http://www.wikidata.org/entity/Q3372878,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q3110697,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
2,http://www.wikidata.org/entity/Q3572728,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
3,http://www.wikidata.org/entity/Q2741329,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
3,http://www.wikidata.org/entity/Q3301918,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
1,http://www.wikidata.org/entity/Q2873120,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
6,http://www.wikidata.org/entity/Q2873120,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,outgoing,2
3,http://www.wikidata.org/entity/Q3479325,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q3202806,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
5,http://www.wikidata.org/entity/Q3202806,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,outgoing,2
6,http://www.wikidata.org/entity/Q3202806,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,outgoing,2
3,http://www.wikidata.org/entity/Q3264271,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
1,http://www.wikidata.org/entity/Q2873135,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
6,http://www.wikidata.org/entity/Q2873135,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,outgoing,2
7,http://www.wikidata.org/entity/Q2873135,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q3587826,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
5,http://www.wikidata.org/entity/Q3587826,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,outgoing,2
6,http://www.wikidata.org/entity/Q3587826,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q3427600,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
4,http://www.wikidata.org/entity/Q3427600,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,outgoing,2
5,http://www.wikidata.org/entity/Q3427600,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,outgoing,2
2,http://www.wikidata.org/entity/Q1943344,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q29527082,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q2812314,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
3,http://www.wikidata.org/entity/Q2741328,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q3275258,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q2850445,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
3,http://www.wikidata.org/entity/Q3094400,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
1,http://www.wikidata.org/entity/Q7884956,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
2,http://www.wikidata.org/entity/Q7884956,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q36268,outgoing,2
8,http://www.wikidata.org/entity/Q7884956,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,outgoing,2
9,http://www.wikidata.org/entity/Q7884956,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q3094395,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
5,http://www.wikidata.org/entity/Q1036873,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q3228365,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q3151100,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
5,http://www.wikidata.org/entity/Q3151100,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,outgoing,2
3,http://www.wikidata.org/entity/Q2372726,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q16034920,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q3094396,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
1,http://www.wikidata.org/entity/Q3163558,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
6,http://www.wikidata.org/entity/Q3163558,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q15628662,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q106418,outgoing,2
1,http://www.wikidata.org/entity/Q15628662,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
5,http://www.wikidata.org/entity/Q15628662,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,outgoing,2
6,http://www.wikidata.org/entity/Q15628662,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,outgoing,2
3,http://www.wikidata.org/entity/Q2741097,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q3208412,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
1,http://www.wikidata.org/entity/Q3208412,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q212873,outgoing,2
6,http://www.wikidata.org/entity/Q3208412,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,outgoing,2
3,http://www.wikidata.org/entity/Q3094401,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
3,http://www.wikidata.org/entity/Q2690442,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q15944778,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q3231177,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
0,http://www.wikidata.org/entity/Q3460078,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
4,http://www.wikidata.org/entity/Q3460078,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q1698,outgoing,2
5,http://www.wikidata.org/entity/Q3460078,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1698,outgoing,2
1,http://www.wikidata.org/entity/Q23861055,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q1698,outgoing,2
