,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q12565155,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q26876,ingoing,[]
1,http://www.wikidata.org/entity/Q20823679,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q26876,ingoing,[]
2,http://www.wikidata.org/entity/Q30226819,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q26876,ingoing,[]
3,http://www.wikidata.org/entity/Q1065651,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q26876,ingoing,[]
4,http://www.wikidata.org/entity/Q1441539,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q26876,ingoing,[]
5,http://www.wikidata.org/entity/Q18149622,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q26876,ingoing,[]
6,http://www.wikidata.org/entity/Q31155,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q26876,ingoing,[]
7,http://www.wikidata.org/entity/Q38470,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q26876,ingoing,[]
8,http://www.wikidata.org/entity/Q617869,http://www.wikidata.org/prop/direct/P1346,http://www.wikidata.org/entity/Q26876,ingoing,[]
9,http://www.wikidata.org/entity/Q5482289,http://www.wikidata.org/prop/direct/P1423,http://www.wikidata.org/entity/Q26876,ingoing,[]
10,http://www.wikidata.org/entity/Q1028548,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q26876,ingoing,[]
11,http://www.wikidata.org/entity/Q15079344,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q26876,ingoing,[]
12,http://www.wikidata.org/entity/Q1817561,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q26876,ingoing,[]
13,http://www.wikidata.org/entity/Q220591,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q26876,ingoing,[]
14,http://www.wikidata.org/entity/Q244975,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q26876,ingoing,[]
15,http://www.wikidata.org/entity/Q844059,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q26876,ingoing,[]
16,http://www.wikidata.org/entity/Q858778,http://www.wikidata.org/prop/direct/P161,http://www.wikidata.org/entity/Q26876,ingoing,[]
109,http://www.wikidata.org/entity/Q6426827,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q26876,ingoing,[]
110,http://www.wikidata.org/entity/Q17319209,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q26876,ingoing,[]
111,http://www.wikidata.org/entity/Q17319204,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q26876,ingoing,[]
112,http://www.wikidata.org/entity/Q17319206,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q26876,ingoing,[]
137,http://www.wikidata.org/entity/Q786594,http://www.wikidata.org/prop/direct/P725,http://www.wikidata.org/entity/Q26876,ingoing,[]
138,http://www.wikidata.org/entity/Q1578262,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q26876,ingoing,[]
139,http://www.wikidata.org/entity/Q918511,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q26876,ingoing,[]
149,http://www.wikidata.org/entity/Q6843408,http://www.wikidata.org/prop/direct/P971,http://www.wikidata.org/entity/Q26876,ingoing,[]
0,http://www.wikidata.org/entity/Q16677693,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q2529184,ingoing,[]
0,http://www.wikidata.org/entity/Q15710247,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q18441355,ingoing,[]
0,http://www.wikidata.org/entity/Q3931404,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q252057,ingoing,[]
0,http://www.wikidata.org/entity/Q12860016,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q921515,ingoing,[]
2,http://www.wikidata.org/entity/Q9288200,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q921515,ingoing,[]
3,http://www.wikidata.org/entity/Q6690540,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q921515,ingoing,[]
0,http://www.wikidata.org/entity/Q3696741,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q129982,ingoing,[]
0,http://www.wikidata.org/entity/Q11196892,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q2262482,ingoing,[]
2,http://www.wikidata.org/entity/Q11277374,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q2262482,ingoing,[]
0,http://www.wikidata.org/entity/Q19954301,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q19892111,ingoing,[]
1,http://www.wikidata.org/entity/Q59476,http://www.wikidata.org/prop/direct/P1889,http://www.wikidata.org/entity/Q7746116,ingoing,[]
0,http://www.wikidata.org/entity/Q5692707,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q1389064,ingoing,[]
0,http://www.wikidata.org/entity/Q18367880,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q18333025,ingoing,[]
1,http://www.wikidata.org/entity/Q19737942,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q18333025,ingoing,[]
1,http://www.wikidata.org/entity/Q17018001,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q5418004,ingoing,[]
3,http://www.wikidata.org/entity/Q3771799,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q5418004,ingoing,[]
0,http://www.wikidata.org/entity/Q1464016,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q1256838,ingoing,[]
1,http://www.wikidata.org/entity/Q7111578,http://www.wikidata.org/prop/direct/P155,http://www.wikidata.org/entity/Q21100,ingoing,[]
3,http://www.wikidata.org/entity/Q384872,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q21100,ingoing,[]
0,http://www.wikidata.org/entity/Q16640645,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q1535176,ingoing,[]
0,http://www.wikidata.org/entity/Q37825701,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q37814092,ingoing,[]
1,http://www.wikidata.org/entity/Q37833063,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q37814092,ingoing,[]
