,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,outgoing,[]
1,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q33999,outgoing,[]
2,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q488205,outgoing,[]
3,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P1303,http://www.wikidata.org/entity/Q258896,outgoing,[]
4,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P1303,http://www.wikidata.org/entity/Q5994,outgoing,[]
5,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P1303,http://www.wikidata.org/entity/Q61285,outgoing,[]
6,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P1303,http://www.wikidata.org/entity/Q6607,outgoing,[]
7,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q37073,outgoing,[]
8,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q83440,outgoing,[]
9,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P1411,http://www.wikidata.org/entity/Q904528,outgoing,[]
10,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q1321,outgoing,[]
11,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q1860,outgoing,[]
12,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P1424,http://www.wikidata.org/entity/Q5482289,outgoing,[]
13,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q1091031,outgoing,[]
14,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q19858140,outgoing,[]
15,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q237896,outgoing,[]
16,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581072,outgoing,[]
17,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q17319204,outgoing,[]
18,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q17319206,outgoing,[]
19,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P264,http://www.wikidata.org/entity/Q2902300,outgoing,[]
20,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q30,outgoing,[]
21,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
22,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q17319209,outgoing,[]
24,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P412,http://www.wikidata.org/entity/Q186506,outgoing,[]
25,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q81637,outgoing,[]
26,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P69,http://www.wikidata.org/entity/Q5713508,outgoing,[]
27,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P69,http://www.wikidata.org/entity/Q8040423,outgoing,[]
28,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P734,http://www.wikidata.org/entity/Q18331735,outgoing,[]
29,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q16154105,outgoing,[]
30,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q3981665,outgoing,[]
31,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P937,http://www.wikidata.org/entity/Q23197,outgoing,[]
0,http://www.wikidata.org/entity/Q1648799,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q2280497,outgoing,[]
4,http://www.wikidata.org/entity/Q1648799,http://www.wikidata.org/prop/direct/P264,http://www.wikidata.org/entity/Q2902300,outgoing,[]
5,http://www.wikidata.org/entity/Q1648799,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q134556,outgoing,[]
6,http://www.wikidata.org/entity/Q1648799,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q7366,outgoing,[]
8,http://www.wikidata.org/entity/Q1648799,http://www.wikidata.org/prop/direct/P495,http://www.wikidata.org/entity/Q30,outgoing,[]
1,http://www.wikidata.org/entity/Q2529184,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1573906,outgoing,[]
