,subject,predicate,object,type_df,iteration
110,http://www.wikidata.org/entity/Q17319209,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q26876,ingoing,1
112,http://www.wikidata.org/entity/Q17319206,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q26876,ingoing,1
18,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q17319206,outgoing,1
22,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q17319209,outgoing,1
25,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q81637,outgoing,1
3,http://www.wikidata.org/entity/Q1648799,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q26876,outgoing,2
9,http://www.wikidata.org/entity/Q1648799,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q26876,outgoing,2
0,http://www.wikidata.org/entity/Q2529184,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q26876,outgoing,2
0,http://www.wikidata.org/entity/Q17151108,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q26876,outgoing,2
6,http://www.wikidata.org/entity/Q18441355,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q286501,outgoing,2
7,http://www.wikidata.org/entity/Q18441355,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q318223,outgoing,2
8,http://www.wikidata.org/entity/Q18441355,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q26876,outgoing,2
16,http://www.wikidata.org/entity/Q18441355,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q26876,outgoing,2
17,http://www.wikidata.org/entity/Q18441355,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q286501,outgoing,2
18,http://www.wikidata.org/entity/Q18441355,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q318223,outgoing,2
3,http://www.wikidata.org/entity/Q252057,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q26876,outgoing,2
9,http://www.wikidata.org/entity/Q252057,http://www.wikidata.org/prop/direct/P676,http://www.wikidata.org/entity/Q26876,outgoing,2
2,http://www.wikidata.org/entity/Q154078,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q1225141,outgoing,2
4,http://www.wikidata.org/entity/Q154078,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q26876,outgoing,2
8,http://www.wikidata.org/entity/Q154078,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q1225141,outgoing,2
9,http://www.wikidata.org/entity/Q154078,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q26876,outgoing,2
10,http://www.wikidata.org/entity/Q154078,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q3182268,outgoing,2
11,http://www.wikidata.org/entity/Q154078,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q3187212,outgoing,2
2,http://www.wikidata.org/entity/Q339597,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q26876,outgoing,2
0,http://www.wikidata.org/entity/Q22918941,http://www.wikidata.org/prop/direct/P162,http://www.wikidata.org/entity/Q286501,outgoing,2
