,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q20794381,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q194363,ingoing,[]
1,http://www.wikidata.org/entity/Q2838835,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q194363,ingoing,[]
5,http://www.wikidata.org/entity/Q545154,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q194363,ingoing,[]
6,http://www.wikidata.org/entity/Q235209,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q194363,ingoing,[]
7,http://www.wikidata.org/entity/Q6362875,http://www.wikidata.org/prop/direct/P971,http://www.wikidata.org/entity/Q194363,ingoing,[]
0,http://www.wikidata.org/entity/Q12232337,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q206015,ingoing,[]
1,http://www.wikidata.org/entity/Q3226844,http://www.wikidata.org/prop/direct/P406,http://www.wikidata.org/entity/Q206015,ingoing,[]
2,http://www.wikidata.org/entity/Q7314,http://www.wikidata.org/prop/direct/P800,http://www.wikidata.org/entity/Q206015,ingoing,[]
0,http://www.wikidata.org/value/2e0d078a72bb27853228f3623d4bb417,http://wikiba.se/ontology-beta#quantityUnit,http://www.wikidata.org/entity/Q207628,ingoing,[]
1,http://www.wikidata.org/value/80a6f27c3fb3d44ff8f154022355907e,http://wikiba.se/ontology-beta#quantityUnit,http://www.wikidata.org/entity/Q207628,ingoing,[]
2,http://www.wikidata.org/value/ab7be5e5537a7c2962b2d588b5af903a,http://wikiba.se/ontology-beta#quantityUnit,http://www.wikidata.org/entity/Q207628,ingoing,[]
3,http://www.wikidata.org/value/c5735dc0235991c3a310eb407a05b802,http://wikiba.se/ontology-beta#quantityUnit,http://www.wikidata.org/entity/Q207628,ingoing,[]
4,http://www.wikidata.org/value/e46258c6b6aaa682e06e137ef5bf438c,http://wikiba.se/ontology-beta#quantityUnit,http://www.wikidata.org/entity/Q207628,ingoing,[]
5,http://www.wikidata.org/value/f8bbaab4ccca2675973b5fd683204f0f,http://wikiba.se/ontology-beta#quantityUnit,http://www.wikidata.org/entity/Q207628,ingoing,[]
6,http://www.wikidata.org/entity/Q10590721,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q207628,ingoing,[]
7,http://www.wikidata.org/entity/Q12020882,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q207628,ingoing,[]
8,http://www.wikidata.org/entity/Q12716200,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q207628,ingoing,[]
9,http://www.wikidata.org/entity/Q16513935,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q207628,ingoing,[]
10,http://www.wikidata.org/entity/Q19268425,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q207628,ingoing,[]
11,http://www.wikidata.org/entity/Q19737327,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q207628,ingoing,[]
18,http://www.wikidata.org/entity/Q1039630,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,[]
21,http://www.wikidata.org/entity/Q104358,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,[]
38,http://www.wikidata.org/entity/Q1078163,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,[]
39,http://www.wikidata.org/entity/Q1079896,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,[]
43,http://www.wikidata.org/entity/Q1097945,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,[]
63,http://www.wikidata.org/entity/Q1165381,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,[]
73,http://www.wikidata.org/entity/Q12003,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,[]
79,http://www.wikidata.org/entity/Q125121,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,[]
81,http://www.wikidata.org/entity/Q1269386,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,[]
84,http://www.wikidata.org/entity/Q1278436,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,[]
92,http://www.wikidata.org/entity/Q131725,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,[]
98,http://www.wikidata.org/entity/Q133665,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,[]
101,http://www.wikidata.org/entity/Q1371122,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,[]
109,http://www.wikidata.org/entity/Q1396251,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,[]
114,http://www.wikidata.org/entity/Q1420579,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,[]
121,http://www.wikidata.org/entity/Q1491218,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,[]
123,http://www.wikidata.org/entity/Q1514,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,[]
128,http://www.wikidata.org/entity/Q1533349,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,[]
