,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q194363,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q746647,outgoing,[]
1,http://www.wikidata.org/entity/Q194363,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q7737,outgoing,[]
2,http://www.wikidata.org/entity/Q194363,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q760940,outgoing,[]
3,http://www.wikidata.org/entity/Q194363,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q1899,outgoing,[]
4,http://www.wikidata.org/entity/Q194363,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q84,outgoing,[]
5,http://www.wikidata.org/entity/Q194363,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
6,http://www.wikidata.org/entity/Q194363,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
7,http://www.wikidata.org/entity/Q194363,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q19817877,outgoing,[]
0,http://www.wikidata.org/entity/Q2381161,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q40415,outgoing,[]
4,http://www.wikidata.org/entity/Q2381161,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q4700,outgoing,[]
3,http://www.wikidata.org/entity/Q206015,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q7314,outgoing,[]
4,http://www.wikidata.org/entity/Q206015,http://www.wikidata.org/prop/direct/P87,http://www.wikidata.org/entity/Q208993,outgoing,[]
5,http://www.wikidata.org/entity/Q206015,http://www.wikidata.org/prop/direct/P870,http://www.wikidata.org/entity/Q239582,outgoing,[]
0,http://www.wikidata.org/entity/Q1637772,http://www.wikidata.org/prop/direct/P144,http://www.wikidata.org/entity/Q1471875,outgoing,[]
2,http://www.wikidata.org/entity/Q1637772,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15079786,outgoing,[]
3,http://www.wikidata.org/entity/Q1637772,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q4700,outgoing,[]
0,http://www.wikidata.org/entity/Q207628,http://www.wikidata.org/prop/direct/P1889,http://www.wikidata.org/entity/Q1333743,outgoing,[]
1,http://www.wikidata.org/entity/Q207628,http://www.wikidata.org/prop/direct/P1889,http://www.wikidata.org/entity/Q462437,outgoing,[]
2,http://www.wikidata.org/entity/Q207628,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q2188189,outgoing,[]
0,http://www.wikidata.org/entity/Q41425,http://www.wikidata.org/prop/direct/P1151,http://www.wikidata.org/entity/Q14615081,outgoing,[]
1,http://www.wikidata.org/entity/Q41425,http://www.wikidata.org/prop/direct/P2579,http://www.wikidata.org/entity/Q4076591,outgoing,[]
2,http://www.wikidata.org/entity/Q41425,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q1020618,outgoing,[]
3,http://www.wikidata.org/entity/Q41425,http://www.wikidata.org/prop/direct/P279,http://www.wikidata.org/entity/Q386724,outgoing,[]
4,http://www.wikidata.org/entity/Q41425,http://www.wikidata.org/prop/direct/P3095,http://www.wikidata.org/entity/Q4070300,outgoing,[]
5,http://www.wikidata.org/entity/Q41425,http://www.wikidata.org/prop/direct/P3095,http://www.wikidata.org/entity/Q805221,outgoing,[]
