,subject,predicate,object,type_df,iteration
5,http://www.wikidata.org/entity/Q545154,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q194363,ingoing,1
6,http://www.wikidata.org/entity/Q235209,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q194363,ingoing,1
1,http://www.wikidata.org/entity/Q2381161,http://www.wikidata.org/prop/direct/P1809,http://www.wikidata.org/entity/Q194363,outgoing,2
4,http://www.wikidata.org/entity/Q2381161,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q4700,outgoing,2
2,http://www.wikidata.org/entity/Q7314,http://www.wikidata.org/prop/direct/P800,http://www.wikidata.org/entity/Q206015,ingoing,2
0,http://www.wikidata.org/entity/Q206015,http://www.wikidata.org/prop/direct/P1809,http://www.wikidata.org/entity/Q194363,outgoing,2
3,http://www.wikidata.org/entity/Q206015,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q7314,outgoing,2
4,http://www.wikidata.org/entity/Q206015,http://www.wikidata.org/prop/direct/P87,http://www.wikidata.org/entity/Q208993,outgoing,2
1,http://www.wikidata.org/entity/Q1637772,http://www.wikidata.org/prop/direct/P1809,http://www.wikidata.org/entity/Q194363,outgoing,2
3,http://www.wikidata.org/entity/Q1637772,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q4700,outgoing,2
21,http://www.wikidata.org/entity/Q104358,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
38,http://www.wikidata.org/entity/Q1078163,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
43,http://www.wikidata.org/entity/Q1097945,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
63,http://www.wikidata.org/entity/Q1165381,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
73,http://www.wikidata.org/entity/Q12003,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
79,http://www.wikidata.org/entity/Q125121,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
81,http://www.wikidata.org/entity/Q1269386,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
84,http://www.wikidata.org/entity/Q1278436,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
92,http://www.wikidata.org/entity/Q131725,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
98,http://www.wikidata.org/entity/Q133665,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
101,http://www.wikidata.org/entity/Q1371122,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
109,http://www.wikidata.org/entity/Q1396251,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
121,http://www.wikidata.org/entity/Q1491218,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
123,http://www.wikidata.org/entity/Q1514,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
128,http://www.wikidata.org/entity/Q1533349,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
138,http://www.wikidata.org/entity/Q157293,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
147,http://www.wikidata.org/entity/Q1624891,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
148,http://www.wikidata.org/entity/Q163593,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
155,http://www.wikidata.org/entity/Q1675722,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
166,http://www.wikidata.org/entity/Q1711156,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
174,http://www.wikidata.org/entity/Q174957,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
175,http://www.wikidata.org/entity/Q175759,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
177,http://www.wikidata.org/entity/Q1768,http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/Q207628,ingoing,3
