,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q5582,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/prop/novalue/P26,outgoing,[]
1,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P1050,http://www.wikidata.org/entity/Q41571,outgoing,[]
2,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P1050,http://www.wikidata.org/entity/Q4340209,outgoing,[]
3,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q1028181,outgoing,[]
4,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q591907,outgoing,[]
5,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q212406,outgoing,[]
6,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P1196,http://www.wikidata.org/entity/Q10737,outgoing,[]
7,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q166713,outgoing,[]
8,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q80113,outgoing,[]
9,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q170571,outgoing,[]
10,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q191163,outgoing,[]
11,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q150,outgoing,[]
12,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q7411,outgoing,[]
13,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P172,http://www.wikidata.org/entity/Q200569,outgoing,[]
14,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q9883,outgoing,[]
15,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P1962,http://www.wikidata.org/entity/Q317188,outgoing,[]
16,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q4819026,outgoing,[]
17,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
18,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q2233061,outgoing,[]
19,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q29999,outgoing,[]
20,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
21,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q24283953,outgoing,[]
22,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q2666308,outgoing,[]
23,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q317188,outgoing,[]
24,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q4140958,outgoing,[]
25,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q4499795,outgoing,[]
26,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P509,http://www.wikidata.org/entity/Q2140674,outgoing,[]
27,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P551,http://www.wikidata.org/entity/Q334199,outgoing,[]
28,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P69,http://www.wikidata.org/entity/Q2822455,outgoing,[]
29,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P734,http://www.wikidata.org/entity/Q42865365,outgoing,[]
30,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q15282375,outgoing,[]
31,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q4928254,outgoing,[]
32,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q1372280,outgoing,[]
33,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q148458,outgoing,[]
34,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q35548,outgoing,[]
35,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q37693,outgoing,[]
37,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q591907,outgoing,[]
38,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P800,http://www.wikidata.org/entity/Q1025704,outgoing,[]
39,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P800,http://www.wikidata.org/entity/Q154469,outgoing,[]
40,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P800,http://www.wikidata.org/entity/Q45585,outgoing,[]
41,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P937,http://www.wikidata.org/entity/Q12892,outgoing,[]
42,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P937,http://www.wikidata.org/entity/Q153516,outgoing,[]
43,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P937,http://www.wikidata.org/entity/Q15883237,outgoing,[]
44,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P937,http://www.wikidata.org/entity/Q182920,outgoing,[]
45,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P937,http://www.wikidata.org/entity/Q208012,outgoing,[]
46,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P937,http://www.wikidata.org/entity/Q212406,outgoing,[]
47,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P937,http://www.wikidata.org/entity/Q221507,outgoing,[]
48,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P937,http://www.wikidata.org/entity/Q239,outgoing,[]
49,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P937,http://www.wikidata.org/entity/Q26421,outgoing,[]
