,subject,predicate,object,type_df,iteration
1268,http://www.wikidata.org/entity/Q24283953,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q5582,ingoing,1
1269,http://www.wikidata.org/entity/Q2666308,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q5582,ingoing,1
1270,http://www.wikidata.org/entity/Q317188,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q5582,ingoing,1
1271,http://www.wikidata.org/entity/Q4140958,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q5582,ingoing,1
1272,http://www.wikidata.org/entity/Q2233061,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q5582,ingoing,1
1274,http://www.wikidata.org/entity/Q2827081,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q5582,ingoing,1
1275,http://www.wikidata.org/entity/Q4499795,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q5582,ingoing,1
1279,http://www.wikidata.org/entity/Q160422,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q5582,ingoing,1
1280,http://www.wikidata.org/entity/Q21130399,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q5582,ingoing,1
1282,http://www.wikidata.org/entity/Q241098,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q5582,ingoing,1
1283,http://www.wikidata.org/entity/Q44054,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q5582,ingoing,1
1284,http://www.wikidata.org/entity/Q61064,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q5582,ingoing,1
1286,http://www.wikidata.org/entity/Q591907,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q5582,ingoing,1
4,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q591907,outgoing,1
15,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P1962,http://www.wikidata.org/entity/Q317188,outgoing,1
18,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q2233061,outgoing,1
21,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q24283953,outgoing,1
22,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q2666308,outgoing,1
23,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q317188,outgoing,1
24,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q4140958,outgoing,1
25,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q4499795,outgoing,1
32,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q1372280,outgoing,1
33,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q148458,outgoing,1
34,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q35548,outgoing,1
35,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q37693,outgoing,1
37,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q591907,outgoing,1
1,http://www.wikidata.org/entity/Q19620592,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634928,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19620623,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634958,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634897,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19620618,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634887,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19620609,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19620611,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19620597,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634930,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19620591,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634914,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19620578,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634943,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19620612,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634922,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634896,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
0,http://www.wikidata.org/entity/Q1582243,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634865,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19620571,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634954,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19620605,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634873,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634875,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19620594,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634899,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634867,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634962,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19620584,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19620607,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
0,http://www.wikidata.org/entity/Q19634903,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634892,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19620586,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634862,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634949,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634945,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19620595,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634963,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634880,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634895,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19620606,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19620619,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
1,http://www.wikidata.org/entity/Q19634923,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q5582,outgoing,2
