,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q29512408,http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q254,ingoing,[]
1,http://www.wikidata.org/entity/Q151953,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q254,ingoing,[]
2,http://www.wikidata.org/entity/Q2422110,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q254,ingoing,[]
3,http://www.wikidata.org/entity/Q310518,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q254,ingoing,[]
4,http://www.wikidata.org/entity/Q697804,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q254,ingoing,[]
5,http://www.wikidata.org/entity/Q729164,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q254,ingoing,[]
180,http://www.wikidata.org/entity/Q3225216,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q254,ingoing,[]
181,http://www.wikidata.org/entity/Q1748028,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q254,ingoing,[]
182,http://www.wikidata.org/entity/Q201873,http://www.wikidata.org/prop/direct/P175,http://www.wikidata.org/entity/Q254,ingoing,[]
183,http://www.wikidata.org/entity/Q18084501,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q254,ingoing,[]
184,http://www.wikidata.org/entity/Q19966640,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q254,ingoing,[]
185,http://www.wikidata.org/entity/Q20655936,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q254,ingoing,[]
186,http://www.wikidata.org/entity/Q30276069,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q254,ingoing,[]
187,http://www.wikidata.org/entity/P2338,http://www.wikidata.org/prop/direct/P1855,http://www.wikidata.org/entity/Q254,ingoing,[]
188,http://www.wikidata.org/entity/P827,http://www.wikidata.org/prop/direct/P1855,http://www.wikidata.org/entity/Q254,ingoing,[]
189,http://www.wikidata.org/entity/Q156023,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q254,ingoing,[]
190,http://www.wikidata.org/entity/Q452098,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q254,ingoing,[]
191,http://www.wikidata.org/entity/Q84464,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q254,ingoing,[]
192,http://www.wikidata.org/entity/Q6437734,http://www.wikidata.org/prop/direct/P301,http://www.wikidata.org/entity/Q254,ingoing,[]
193,http://www.wikidata.org/entity/Q157928,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q254,ingoing,[]
194,http://www.wikidata.org/entity/Q156280,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q254,ingoing,[]
195,http://www.wikidata.org/entity/Q167981,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q254,ingoing,[]
196,http://www.wikidata.org/entity/Q19173703,http://www.wikidata.org/prop/direct/P50,http://www.wikidata.org/entity/Q254,ingoing,[]
197,http://www.wikidata.org/entity/Q1056781,http://www.wikidata.org/prop/direct/P58,http://www.wikidata.org/entity/Q254,ingoing,[]
198,http://www.wikidata.org/entity/Q4305148,http://www.wikidata.org/prop/direct/P674,http://www.wikidata.org/entity/Q254,ingoing,[]
200,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q254,ingoing,[]
203,http://www.wikidata.org/entity/Q1056501,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
204,http://www.wikidata.org/entity/Q1056781,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
205,http://www.wikidata.org/entity/Q1063431,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
206,http://www.wikidata.org/entity/Q1070648,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
207,http://www.wikidata.org/entity/Q1086921,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
208,http://www.wikidata.org/entity/Q1107548,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
209,http://www.wikidata.org/entity/Q1107551,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
210,http://www.wikidata.org/entity/Q11234228,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
211,http://www.wikidata.org/entity/Q11338077,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
212,http://www.wikidata.org/entity/Q11351836,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
213,http://www.wikidata.org/entity/Q1141187,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
214,http://www.wikidata.org/entity/Q11578053,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
215,http://www.wikidata.org/entity/Q1170659,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
216,http://www.wikidata.org/entity/Q1179575,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
217,http://www.wikidata.org/entity/Q1179581,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
218,http://www.wikidata.org/entity/Q1179589,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
219,http://www.wikidata.org/entity/Q1179594,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
220,http://www.wikidata.org/entity/Q1179602,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
221,http://www.wikidata.org/entity/Q1179606,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
222,http://www.wikidata.org/entity/Q1193260,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
223,http://www.wikidata.org/entity/Q1194515,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
224,http://www.wikidata.org/entity/Q1196773,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
225,http://www.wikidata.org/entity/Q1197132,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
226,http://www.wikidata.org/entity/Q12025,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
227,http://www.wikidata.org/entity/Q1211134,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
228,http://www.wikidata.org/entity/Q1213752,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
229,http://www.wikidata.org/entity/Q1216111,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
230,http://www.wikidata.org/entity/Q126658,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
231,http://www.wikidata.org/entity/Q12718247,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
232,http://www.wikidata.org/entity/Q1279466,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
233,http://www.wikidata.org/entity/Q13156714,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
234,http://www.wikidata.org/entity/Q1318595,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
235,http://www.wikidata.org/entity/Q13668751,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
236,http://www.wikidata.org/entity/Q1373720,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
237,http://www.wikidata.org/entity/Q1395859,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
238,http://www.wikidata.org/entity/Q144314,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
239,http://www.wikidata.org/entity/Q1465326,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
240,http://www.wikidata.org/entity/Q1477944,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
241,http://www.wikidata.org/entity/Q1499219,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
242,http://www.wikidata.org/entity/Q1537300,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
243,http://www.wikidata.org/entity/Q1543168,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
244,http://www.wikidata.org/entity/Q15445050,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
245,http://www.wikidata.org/entity/Q15632116,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
246,http://www.wikidata.org/entity/Q1565138,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
247,http://www.wikidata.org/entity/Q1572398,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
248,http://www.wikidata.org/entity/Q16155894,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
249,http://www.wikidata.org/entity/Q162904,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
250,http://www.wikidata.org/entity/Q163568,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
251,http://www.wikidata.org/entity/Q164313,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
252,http://www.wikidata.org/entity/Q164607,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
253,http://www.wikidata.org/entity/Q164647,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
254,http://www.wikidata.org/entity/Q1651543,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
255,http://www.wikidata.org/entity/Q1661939,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
256,http://www.wikidata.org/entity/Q169803,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
257,http://www.wikidata.org/entity/Q169961,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
258,http://www.wikidata.org/entity/Q17014725,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
259,http://www.wikidata.org/entity/Q17061125,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
260,http://www.wikidata.org/entity/Q171920,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
261,http://www.wikidata.org/entity/Q172075,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
262,http://www.wikidata.org/entity/Q1746050,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
263,http://www.wikidata.org/entity/Q1753808,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
264,http://www.wikidata.org/entity/Q175408,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,ingoing,[]
