,subject,predicate,object,type_df,superclass
0,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P103,http://www.wikidata.org/entity/Q188,outgoing,[]
2,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q1259917,outgoing,[]
3,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q16145150,outgoing,[]
4,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q214970,outgoing,[]
5,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q36834,outgoing,[]
6,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q486748,outgoing,[]
7,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q639669,outgoing,[]
8,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q765778,outgoing,[]
9,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q106641,outgoing,[]
10,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q550279,outgoing,[]
11,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P108,http://www.wikidata.org/entity/Q615681,outgoing,[]
12,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/Q695321,outgoing,[]
13,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P1303,http://www.wikidata.org/entity/Q1444,outgoing,[]
14,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P1303,http://www.wikidata.org/entity/Q1521313,outgoing,[]
15,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P1303,http://www.wikidata.org/entity/Q191823,outgoing,[]
16,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P1303,http://www.wikidata.org/entity/Q281460,outgoing,[]
17,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P1303,http://www.wikidata.org/entity/Q52954,outgoing,[]
18,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P1303,http://www.wikidata.org/entity/Q5994,outgoing,[]
19,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P1303,http://www.wikidata.org/entity/Q80284,outgoing,[]
20,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P1303,http://www.wikidata.org/entity/Q81982,outgoing,[]
21,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P1303,http://www.wikidata.org/entity/Q8355,outgoing,[]
22,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q17723,outgoing,[]
23,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q1065742,outgoing,[]
24,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q1344,outgoing,[]
25,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q1546995,outgoing,[]
26,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q1746028,outgoing,[]
27,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q189201,outgoing,[]
28,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q207338,outgoing,[]
29,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q3328774,outgoing,[]
30,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q937364,outgoing,[]
31,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q9730,outgoing,[]
32,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q9734,outgoing,[]
33,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q9748,outgoing,[]
34,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P140,http://www.wikidata.org/entity/Q1841,outgoing,[]
35,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q188,outgoing,[]
36,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P1455,http://www.wikidata.org/entity/Q960366,outgoing,[]
37,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P166,http://www.wikidata.org/entity/Q93716,outgoing,[]
38,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q34713,outgoing,[]
39,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q1741,outgoing,[]
40,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097,outgoing,[]
41,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q156280,outgoing,[]
42,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q167981,outgoing,[]
43,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q84464,outgoing,[]
44,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q699964,outgoing,[]
45,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q701614,outgoing,[]
46,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5,outgoing,[]
47,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q157928,outgoing,[]
48,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q156023,outgoing,[]
49,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q452098,outgoing,[]
50,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q41726,outgoing,[]
