,subject,predicate,object,type_df,iteration
1,http://www.wikidata.org/entity/Q151953,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q254,ingoing,1
2,http://www.wikidata.org/entity/Q2422110,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q254,ingoing,1
3,http://www.wikidata.org/entity/Q310518,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q254,ingoing,1
4,http://www.wikidata.org/entity/Q697804,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q254,ingoing,1
5,http://www.wikidata.org/entity/Q729164,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q254,ingoing,1
189,http://www.wikidata.org/entity/Q156023,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q254,ingoing,1
190,http://www.wikidata.org/entity/Q452098,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q254,ingoing,1
191,http://www.wikidata.org/entity/Q84464,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q254,ingoing,1
193,http://www.wikidata.org/entity/Q157928,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q254,ingoing,1
194,http://www.wikidata.org/entity/Q156280,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q254,ingoing,1
195,http://www.wikidata.org/entity/Q167981,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q254,ingoing,1
200,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P737,http://www.wikidata.org/entity/Q254,ingoing,1
9,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q106641,outgoing,1
10,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P1066,http://www.wikidata.org/entity/Q550279,outgoing,1
11,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P108,http://www.wikidata.org/entity/Q615681,outgoing,1
41,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q156280,outgoing,1
42,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/Q167981,outgoing,1
43,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q84464,outgoing,1
47,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P3373,http://www.wikidata.org/entity/Q157928,outgoing,1
48,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q156023,outgoing,1
49,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/Q452098,outgoing,1
64,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q151953,outgoing,1
65,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q2422110,outgoing,1
66,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q310518,outgoing,1
67,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/Q729164,outgoing,1
1,http://www.wikidata.org/entity/Q19350969,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351008,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q47013034,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19350983,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351072,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351069,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q2515769,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
25,http://www.wikidata.org/entity/Q2515769,http://www.wikidata.org/prop/direct/P86,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351024,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351084,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q3558681,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q45315455,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351014,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19350995,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351078,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351070,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351101,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351053,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351095,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19350984,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19350992,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351036,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351111,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351027,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351029,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19350963,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351099,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
0,http://www.wikidata.org/entity/Q262038,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351043,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q44823424,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351056,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351011,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q18071657,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351023,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
0,http://www.wikidata.org/entity/Q19351080,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351016,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19350993,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351002,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351086,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351037,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19350962,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351083,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19350981,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q45031015,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19350965,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19350974,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351077,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
0,http://www.wikidata.org/entity/Q4300598,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19350996,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351038,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q43442617,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351000,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351060,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19350979,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q21035794,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351021,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351010,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19350999,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19351064,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q16990296,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q19350994,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
1,http://www.wikidata.org/entity/Q43389023,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q254,outgoing,2
